City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,tshela,-4.9833,12.9333,12.9333,93,100,0.53,CD,1722819249
224,nizhniy odes,63.6445,54.856,54.856,97,82,2.74,RU,1722819250
225,smidovich,48.6,133.8167,133.8167,85,100,4.47,RU,1722819252
226,tobelo,1.7284,128.0095,128.0095,77,100,1.84,ID,1722819254
227,hirara,24.8,125.2833,125.2833,84,75,5.66,JP,1722819255
228,parabel',58.6978,81.4825,81.4825,94,100,1.61,RU,1722819256
229,uzgen,40.7699,73.3007,73.3007,33,0,2.25,KG,1722819257
230,castletown,53.0281,-9.0686,-9.0686,92,100,6.44,IE,1722819258
231,peace river,56.2501,-117.286,-117.286,77,100,5.66,CA,1722819260
232,ca mau,9.1769,105.15,105.15,75,100,1.54,VN,1722819261
233,shimoda,34.6667,138.95,138.95,68,0,2.14,JP,1722819262
234,tabou,4.423,-7.3528,-7.3528,84,100,2.58,CI,1722819263
235,geraldton,-28.7667,114.6,114.6,87,0,4.63,AU,1722819041
236,okhotsk,59.3833,143.3,143.3,64,98,2.55,RU,1722819266
237,kushk,33.2957,61.9522,61.9522,19,0,2.63,AF,1722819267
238,buhi,13.4333,123.5167,123.5167,86,99,2.71,PH,1722819268
239,vila franca do campo,37.7167,-25.4333,-25.4333,90,2,1.69,PT,1722819136
240,mogocha,53.7333,119.7667,119.7667,97,100,1.44,RU,1722819272
241,georgetown,5.4112,100.3354,100.3354,78,20,1.03,MY,1722819273
242,san juan,-31.5375,-68.5364,-68.5364,25,1,0.38,AR,1722819169
243,mejit,10.2753,170.8646,170.8646,79,21,6.68,MH,1722819275
244,gainesville,29.6516,-82.3248,-82.3248,60,100,6.17,US,1722818849
245,karaton,-6.3424,106.1045,106.1045,79,7,0.55,ID,1722819278
246,caucete,-31.6518,-68.2811,-68.2811,28,0,1.25,AR,1722819056
247,nyurba,63.2842,118.3319,118.3319,47,19,3.28,RU,1722819280
248,katsuura,35.1333,140.3,140.3,72,0,2.34,JP,1722819281
249,paungde,18.4833,95.5,95.5,96,100,2.92,MM,1722819283
250,puerto baquerizo moreno,-0.9,-89.6,-89.6,85,26,5.63,EC,1722819164
251,gadzhiyevo,69.2551,33.3362,33.3362,88,3,0.83,RU,1722819285
252,kamyzyak,46.11,48.0736,48.0736,73,0,1.0,RU,1722819286
253,lekki,6.3607,4.8333,4.8333,94,41,1.37,NG,1722819287
254,tura,25.5198,90.2201,90.2201,94,100,1.46,IN,1722818940
255,klyuchi,52.2667,79.1667,79.1667,65,31,3.12,RU,1722819263
256,bom jardim,-7.7958,-35.5872,-35.5872,97,66,2.25,BR,1722819291
257,alaghsas,17.0187,8.0168,8.0168,80,91,7.62,NE,1722819292
258,port lincoln,-34.7333,135.8667,135.8667,70,8,1.86,AU,1722818977
259,lompoc,34.6391,-120.4579,-120.4579,75,0,5.66,US,1722818931
260,luau,-10.7073,22.2247,22.2247,32,4,1.43,AO,1722819297
261,avarua,-21.2078,-159.775,-159.775,69,20,3.6,CK,1722818928
262,west side highway,46.184,-122.9172,-122.9172,61,0,1.79,US,1722819299
263,sirte,31.2089,16.5887,16.5887,50,0,4.81,LY,1722819301
264,shevchenko,48.5,35.0,35.0,80,78,4.01,UA,1722819302
265,pisco,-13.7,-76.2167,-76.2167,88,0,3.6,PE,1722819011
266,tazovsky,67.4667,78.7,78.7,68,97,5.87,RU,1722819291
267,deder,9.3167,41.45,41.45,82,98,2.22,ET,1722819305
268,custodia,-8.0875,-37.6431,-37.6431,85,14,4.16,BR,1722819307
269,bonthe,7.5264,-12.505,-12.505,85,100,2.17,SL,1722819150
270,masterton,-40.9597,175.6575,175.6575,69,100,1.75,NZ,1722819309
271,chibougamau,49.9168,-74.3659,-74.3659,51,0,3.09,CA,1722819310
272,shiguai,40.7058,110.2856,110.2856,43,6,0.95,CN,1722819312
273,al bawiti,28.3492,28.8659,28.8659,33,60,2.38,EG,1722819313
274,loudun,47.0079,0.083,0.083,81,93,1.66,FR,1722819314
275,puerto aysen,-45.4,-72.7,-72.7,99,100,1.38,CL,1722818892
276,new norfolk,-42.7826,147.0587,147.0587,52,7,3.7,AU,1722818957
277,nantucket,41.2835,-70.0995,-70.0995,91,0,6.69,US,1722818651
278,kittila,67.6647,24.8936,24.8936,93,0,1.03,FI,1722819319
279,robbah,33.2797,6.9098,6.9098,25,0,4.88,DZ,1722819321
280,carnarvon,-24.8667,113.6333,113.6333,46,0,4.03,AU,1722819322
281,alotau,-10.3069,150.4462,150.4462,90,100,3.03,PG,1722819324
282,bosaso,11.2842,49.1816,49.1816,40,100,7.62,SO,1722819049
283,huancavelica,-12.7667,-74.9833,-74.9833,83,88,0.9,PE,1722819327
284,guerrero negro,27.9769,-114.0611,-114.0611,72,17,6.44,MX,1722818790
285,mahabad,36.7631,45.7222,45.7222,57,0,1.91,IR,1722819331
